City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,beyneu,45.3167,55.2,-5.43,42,100,4.66,KZ,1708651774
281,rantauprapat,2.1,99.8333,24.82,94,14,0.64,ID,1708651774
282,daru,-9.0763,143.2092,30.17,70,100,3.48,PG,1708651774
283,alpena,45.0617,-83.4327,2.84,87,100,0.0,US,1708651774
284,acarau,-2.8856,-40.12,27.62,74,100,2.63,BR,1708651774
285,punta arenas,-53.15,-70.9167,5.06,75,20,6.17,CL,1708651774
286,benghazi,32.1167,20.0667,16.92,58,79,7.28,LY,1708651775
287,puerto ayora,-0.7393,-90.3518,26.97,94,44,0.45,EC,1708651775
288,cabedelo,-6.9811,-34.8339,27.37,85,29,2.42,BR,1708651775
289,gapyeong,37.831,127.5106,1.36,65,100,2.37,KR,1708651775
290,quesnel,52.9999,-122.5029,5.28,65,0,3.6,CA,1708651512
291,guichon,-32.35,-57.2,25.27,48,100,1.23,UY,1708651775
292,hovd,48.0056,91.6419,-21.35,77,0,1.2,MN,1708651775
293,copala,16.65,-98.9833,25.46,65,0,3.05,MX,1708651775
294,luderitz,-26.6481,15.1594,15.89,85,6,11.2,NA,1708651775
295,san javier,37.8063,-0.8374,19.84,46,93,4.92,ES,1708651775
296,cabo san lucas,22.8909,-109.9124,24.61,68,20,3.6,MX,1708651775
297,richards bay,-28.783,32.0377,22.96,88,94,1.57,ZA,1708651776
298,thinadhoo,0.5333,72.9333,27.5,78,17,1.48,MV,1708651776
299,al bawiti,28.3492,28.8659,14.0,60,100,3.73,EG,1708651776
300,yanacancha,-10.2411,-76.6456,5.29,76,100,2.84,PE,1708651776
301,minden,52.2833,8.9167,8.32,79,100,11.64,DE,1708651776
302,nova sintra,14.8667,-24.7167,21.01,68,100,6.97,CV,1708651776
303,colonia,50.9333,6.95,6.65,76,75,6.69,DE,1708651566
304,khandyga,62.6667,135.6,-36.95,95,79,0.62,RU,1708651776
305,namsos,64.4662,11.4957,5.03,75,100,6.17,NO,1708651776
306,vrangel',42.7297,133.0839,-8.36,47,0,6.8,RU,1708651777
307,ratnagiri,16.9833,73.3,20.02,73,6,3.57,IN,1708651777
308,monticello,45.3055,-93.7941,4.02,76,0,3.09,US,1708651777
309,cozumel,20.5083,-86.9458,23.34,76,20,1.79,MX,1708651777
310,oppdal,62.5943,9.6912,-4.16,90,100,3.62,NO,1708651777
311,tavrichanka,43.3378,131.8639,-8.08,55,0,4.41,RU,1708651777
312,pecos,31.4229,-103.4932,21.28,16,0,2.06,US,1708651777
